day,hour,ip,graph_type,colormap,marker,size,score
20170620,16:01:22,177.139.217.186,linearDecrease,GnBu,o,750,1
20170620,16:01:22,177.139.217.186,linearDecrease,YlOrRd,o,750,-1
20170620,16:01:29,177.139.217.186,linearIncrease,Greys,v,100,-1
20170620,16:01:29,177.139.217.186,linearIncrease,YlOrRd,v,100,1
20170620,16:01:42,177.139.217.186,linearDecrease,GnBu,^,100,-1
20170620,16:01:42,177.139.217.186,linearDecrease,YlOrRd,^,100,1
20170620,16:01:45,177.139.217.186,constant,YlOrRd,v,750,-1
20170620,16:01:45,177.139.217.186,constant,YlOrRd,v,100,1
20170620,16:01:53,177.139.217.186,linearIncrease,GnBu,o,100,1
20170620,16:01:53,177.139.217.186,linearIncrease,Greys,o,100,-1
20170620,16:01:57,177.139.217.186,linearIncrease,YlOrRd,o,300,-1
20170620,16:01:57,177.139.217.186,linearIncrease,Greys,o,300,1
20170620,16:02:00,177.139.217.186,constant,GnBu,v,300,-1
20170620,16:02:00,177.139.217.186,constant,Greys,v,300,1
20170620,16:02:04,177.139.217.186,constant,Greys,o,750,1
20170620,16:02:04,177.139.217.186,constant,Greys,^,750,-1
20170620,16:02:08,177.139.217.186,constant,Greys,v,750,-1
20170620,16:02:08,177.139.217.186,constant,Greys,v,100,1
20170620,16:02:11,177.139.217.186,linearDecrease,GnBu,o,300,1
20170620,16:02:11,177.139.217.186,linearDecrease,GnBu,v,300,-1
20170620,16:02:14,177.139.217.186,constant,YlOrRd,v,100,1
20170620,16:02:14,177.139.217.186,constant,YlOrRd,v,750,-1
20170620,16:02:18,177.139.217.186,constant,GnBu,o,750,1
20170620,16:02:18,177.139.217.186,constant,YlOrRd,o,750,-1
20170620,16:02:21,177.139.217.186,linearDecrease,GnBu,^,300,1
20170620,16:02:21,177.139.217.186,linearDecrease,YlOrRd,^,300,-1
20170620,16:02:24,177.139.217.186,linearIncrease,GnBu,^,750,-1
20170620,16:02:24,177.139.217.186,linearIncrease,GnBu,^,300,1
20170620,16:02:26,177.139.217.186,linearDecrease,Greys,o,750,-1
20170620,16:02:26,177.139.217.186,linearDecrease,Greys,o,100,1
20170620,16:02:29,177.139.217.186,linearDecrease,YlOrRd,^,300,-1
20170620,16:02:29,177.139.217.186,linearDecrease,YlOrRd,o,300,1
20170620,16:04:33,177.139.217.186,linearIncrease,GnBu,^,100,1
20170620,16:04:33,177.139.217.186,linearIncrease,GnBu,^,300,-1
20170620,16:04:40,177.139.217.186,linearIncrease,Greys,o,100,-1
20170620,16:04:40,177.139.217.186,linearIncrease,YlOrRd,o,100,1
20170620,16:04:44,177.139.217.186,linearDecrease,YlOrRd,o,750,-1
20170620,16:04:44,177.139.217.186,linearDecrease,YlOrRd,o,300,1
20170620,16:04:51,177.139.217.186,linearIncrease,Greys,^,300,-1
20170620,16:04:51,177.139.217.186,linearIncrease,GnBu,^,300,1
20170620,16:04:55,177.139.217.186,constant,Greys,^,100,1
20170620,16:04:55,177.139.217.186,constant,Greys,o,100,-1
20170620,16:05:00,177.139.217.186,linearIncrease,Greys,v,100,-1
20170620,16:05:00,177.139.217.186,linearIncrease,GnBu,v,100,1
20170620,16:05:08,177.139.217.186,linearDecrease,Greys,o,300,-1
20170620,16:05:08,177.139.217.186,linearDecrease,Greys,v,300,1
20170620,16:05:12,177.139.217.186,linearIncrease,YlOrRd,^,100,1
20170620,16:05:12,177.139.217.186,linearIncrease,YlOrRd,o,100,-1
20170620,16:05:15,177.139.217.186,constant,YlOrRd,v,750,-1
20170620,16:05:15,177.139.217.186,constant,YlOrRd,v,100,1
20170620,16:05:24,177.139.217.186,linearDecrease,YlOrRd,^,750,-1
20170620,16:05:24,177.139.217.186,linearDecrease,Greys,^,750,1
20170620,16:05:28,177.139.217.186,linearDecrease,Greys,o,750,1
20170620,16:05:28,177.139.217.186,linearDecrease,Greys,v,750,-1
20170620,16:05:33,177.139.217.186,linearDecrease,Greys,v,100,-1
20170620,16:05:33,177.139.217.186,linearDecrease,Greys,^,100,1
20170620,16:05:39,177.139.217.186,constant,GnBu,^,750,1
20170620,16:05:39,177.139.217.186,constant,GnBu,v,750,-1
20170620,16:05:42,177.139.217.186,linearIncrease,GnBu,^,300,1
20170620,16:05:42,177.139.217.186,linearIncrease,Greys,^,300,-1
20170620,16:05:46,177.139.217.186,constant,GnBu,v,300,1
20170620,16:05:46,177.139.217.186,constant,GnBu,v,750,-1
20170620,16:05:49,177.139.217.186,constant,Greys,v,750,-1
20170620,16:05:49,177.139.217.186,constant,Greys,^,750,1
20170620,16:05:52,177.139.217.186,linearIncrease,YlOrRd,v,300,-1
20170620,16:05:52,177.139.217.186,linearIncrease,YlOrRd,v,100,1
20170620,16:05:54,177.139.217.186,linearDecrease,YlOrRd,v,750,-1
20170620,16:05:54,177.139.217.186,linearDecrease,GnBu,v,750,1
20170620,16:05:58,177.139.217.186,linearDecrease,Greys,o,300,1
20170620,16:05:58,177.139.217.186,linearDecrease,Greys,v,300,-1
20170620,16:06:03,177.139.217.186,linearIncrease,GnBu,o,100,1
20170620,16:06:03,177.139.217.186,linearIncrease,GnBu,v,100,-1
20170620,16:07:00,177.139.217.186,linearDecrease,GnBu,o,100,1
20170620,16:07:00,177.139.217.186,linearDecrease,GnBu,v,100,-1
20170620,16:07:09,177.139.217.186,linearDecrease,YlOrRd,v,750,1
20170620,16:07:09,177.139.217.186,linearDecrease,Greys,v,750,-1
20170620,16:07:17,177.139.217.186,linearIncrease,Greys,^,750,-1
20170620,16:07:17,177.139.217.186,linearIncrease,Greys,^,300,1
20170620,16:07:22,177.139.217.186,constant,GnBu,v,750,1
20170620,16:07:22,177.139.217.186,constant,Greys,v,750,-1
20170620,16:07:27,177.139.217.186,linearIncrease,Greys,o,300,-1
20170620,16:07:27,177.139.217.186,linearIncrease,Greys,o,100,1
20170620,16:07:30,177.139.217.186,linearIncrease,GnBu,o,100,1
20170620,16:07:30,177.139.217.186,linearIncrease,GnBu,o,750,-1
20170620,16:07:35,177.139.217.186,linearDecrease,GnBu,v,750,-1
20170620,16:07:35,177.139.217.186,linearDecrease,GnBu,v,100,1
20170620,16:07:38,177.139.217.186,linearDecrease,GnBu,^,750,-1
20170620,16:07:38,177.139.217.186,linearDecrease,GnBu,^,300,1
20170620,16:07:43,177.139.217.186,constant,GnBu,v,100,1
20170620,16:07:43,177.139.217.186,constant,GnBu,v,750,-1
20170620,16:07:47,177.139.217.186,constant,YlOrRd,v,100,1
20170620,16:07:47,177.139.217.186,constant,YlOrRd,v,750,-1
20170620,16:07:50,177.139.217.186,linearIncrease,Greys,v,300,1
20170620,16:07:50,177.139.217.186,linearIncrease,Greys,v,750,-1
20170620,16:07:55,177.139.217.186,constant,GnBu,o,100,1
20170620,16:07:55,177.139.217.186,constant,GnBu,^,100,-1
20170620,16:08:00,177.139.217.186,linearDecrease,GnBu,v,300,1
20170620,16:08:00,177.139.217.186,linearDecrease,YlOrRd,v,300,-1
20170620,16:08:03,177.139.217.186,constant,YlOrRd,v,750,1
20170620,16:08:03,177.139.217.186,constant,YlOrRd,o,750,-1
20170620,16:08:13,177.139.217.186,linearDecrease,YlOrRd,v,750,-1
20170620,16:08:13,177.139.217.186,linearDecrease,YlOrRd,^,750,1
20170620,16:08:16,177.139.217.186,linearIncrease,GnBu,o,300,1
20170620,16:08:16,177.139.217.186,linearIncrease,Greys,o,300,-1
20170620,16:08:21,177.139.217.186,linearIncrease,Greys,v,100,-1
20170620,16:08:21,177.139.217.186,linearIncrease,Greys,o,100,1
20170620,16:08:24,177.139.217.186,linearIncrease,YlOrRd,v,100,-1
20170620,16:08:24,177.139.217.186,linearIncrease,YlOrRd,^,100,1
20170620,16:08:30,177.139.217.186,linearDecrease,Greys,o,750,-1
20170620,16:08:30,177.139.217.186,linearDecrease,Greys,v,750,1
20170620,16:08:33,177.139.217.186,constant,Greys,v,750,1
20170620,16:08:33,177.139.217.186,constant,Greys,o,750,-1
20170620,16:13:56,177.139.217.186,constant,Greys,v,300,-1
20170620,16:13:56,177.139.217.186,constant,Greys,^,300,1
20170620,16:14:09,177.139.217.186,linearDecrease,YlOrRd,v,100,1
20170620,16:14:09,177.139.217.186,linearDecrease,Greys,v,100,-1
20170620,16:14:14,177.139.217.186,constant,GnBu,v,100,-1
20170620,16:14:14,177.139.217.186,constant,GnBu,v,750,1
20170620,16:14:18,177.139.217.186,constant,YlOrRd,^,750,1
20170620,16:14:18,177.139.217.186,constant,GnBu,^,750,-1
20170620,16:14:23,177.139.217.186,linearDecrease,Greys,v,300,1
20170620,16:14:23,177.139.217.186,linearDecrease,Greys,v,100,-1
20170620,16:14:28,177.139.217.186,linearDecrease,Greys,o,100,1
20170620,16:14:28,177.139.217.186,linearDecrease,Greys,^,100,-1
20170620,16:14:31,177.139.217.186,linearDecrease,YlOrRd,v,750,1
20170620,16:14:31,177.139.217.186,linearDecrease,Greys,v,750,-1
20170620,16:14:35,177.139.217.186,constant,GnBu,o,100,-1
20170620,16:14:35,177.139.217.186,constant,YlOrRd,o,100,1
20170620,16:14:38,177.139.217.186,linearIncrease,GnBu,^,100,-1
20170620,16:14:38,177.139.217.186,linearIncrease,GnBu,o,100,1
20170620,16:14:41,177.139.217.186,linearDecrease,YlOrRd,o,750,1
20170620,16:14:41,177.139.217.186,linearDecrease,YlOrRd,v,750,-1
